entidade,cnpj,VL_PL,maior_sacado,top5,top10,top25,n_posicoes,dc_tot,pct_maior_sacado,pct_top5,pct_top10,inconsistente_viii_vs_i
RIO DOCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41755826000148,366346571.96,366498882.54,366498882.54,366498882.54,366498882.54,1,366498882.54,1.0,1.0,1.0,False
COTIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59942929000182,364012370.52,364162763.01,364162763.01,364162763.01,364162763.01,1,364162763.01,1.0,1.0,1.0,False
EDENEMERALD HEZ FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,43705687000173,395670790.38,359375340.48,359375340.48,359375340.48,359375340.48,1,359375340.48,1.0,1.0,1.0,False
ARES FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,44062556000188,352158020.63,348894895.88,348894895.88,348894895.88,348894895.88,1,348894895.88,1.0,1.0,1.0,False
CERES CONFINA FIAGRO RESPONSABILIDADE LIMITADA,42336323000109,388016649.48,347969459.53,347969459.53,347969459.53,347969459.53,1,347969460.70000005,0.9999999966376357,0.9999999966376357,0.9999999966376357,False
FIDC PCG - BRASIL MULTICARTEIRA,07727002000126,3140454721.87,346864340.71,605366798.5799999,780745456.8599999,872340721.3899999,24,872942712.65,0.3973506344500211,0.693478265878734,0.8943833834065513,False
LAPERANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36566199000167,393322531.92,343257492.52,343257492.52,343257492.52,343257492.52,1,343243831.12,1.0000398008609663,1.0000398008609663,1.0000398008609663,False
DESBRAVA UNO ARTIGOS ESPORTIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,63622842000103,343581061.0,342797319.29,342797319.29,342797319.29,342797319.29,1,342797319.29,1.0,1.0,1.0,False
JEFER BANKING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS RESP LIMITADA,54029281000134,415133268.2,341703750.25,375331273.5,388377739.40000004,404017439.53000003,24,460491780.14,0.7420409331652223,0.8150661742233287,0.8433977676690002,False
ENDURANCE INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36953080000147,550804156.07,337363512.14,337363512.14,337363512.14,337363512.14,1,337363512.14,1.0,1.0,1.0,False
